name;description;category;contacts;earnings;requiredSkills;bonusSkills;filename;prompt
Esploratore;"Alla fine del secolo esistevano ancora luoghi inesplorati del mondo, tanto da rendere possibile una vera carriera nell'esplorazione. I contributi scientifici, spesso arricchiti da donazioni private, e la possibilità di pubblicare articoli, diari e reportage, garantivano abbastanza fondi per sostenere una vita di avventure. Rimanevano sconosciuti l'Africa nera, il Matto Grosso, il Grande Deserto Australiano, il Sahara, i deserti arabi, e ampie zone dell'Asia. Solo poche spedizioni avevano raggiunto i Poli.";avventurieri;altri esploratori|mecenati|dipendenti di museo;molto variabile, a seconda del successo;Armi da fuoco|Lingua Straniera|Orientamento|Atletica|Nuotare|Percezione;Sopravvivenza:10;"esploratore.png";"explorer's pith helmet, brass compass, telescope"
Esperto di caccia grossa;"Guida spedizioni armate in territori selvaggi, per conto di facoltosi appassionati in cerca di trofei esotici. Le pianure africane, i boschi del Canada o le giungle del Sud Est asiatico sono il suo terreno naturale. Alcuni si specializzano nella cattura di animali vivi per collezioni private o zoo, altri trafficano in pellicce, zanne, corni e pelli, con pochi scrupoli e molti contatti. Alla fine dell'Ottocento queste attività erano considerate perfettamente rispettabili, almeno tra chi poteva permettersele. Non esistono soltanto nobili cacciatori bianchi: in molte regioni del mondo, le vere guide sono esperti locali, taciturni e determinati, che conoscono ogni sentiero.";avventurieri;altri esperti di caccia|alta società|mercato nero;da Middle Class ad Alta Borghesia;Armi da fuoco|Percezione|Furtività|Lingua Straniera|Sopravvivenza|Seguire tracce;Primo soccorso:10;"esperto-di-caccia-grossa.png";"hunting rifle, safari hat, animal trophy"
Artista;"Le arti figurative sono sempre molto popolari, ma il materiale utilizzato può rivelarsi costoso e gli introiti altalenanti. Diversi artisti lavorano in società pubblicitarie limitandosi a disegnare vestiti, o altri prodotti. Molti potrebbero essere ancora impiegati in giornali locali come illustratori, per quanto l'utilizzo della fotografia abbia messo in crisi anche questo settore. Gli scultori, più legati alla committenza privata o funeraria, lavorano spesso il marmo, la terracotta o il gesso. Alcuni collaborano con architetti e urbanisti per realizzare fregi decorativi, busti o statue pubbliche, ma la richiesta non è costante e dipende molto dai circoli sociali frequentati.";arti_creative;mondo dell'arte|mecenati|mondo pubblicitario;dal Sottoproletariato alla Middle Class;Pittura e Disegno|Cercare|Lingua Straniera|Storia|Empatia|Ammaliare;Artigianato:10;"artista.png";"paintbrushes, wooden palette, easel"
Fotografo;"La fotografia è una forma d'arte in voga da qualche anno, ma molti fotografi lavorano ora per aziende pubblicitarie o in studi di ritratti, scattando foto alle famiglie della media borghesia. Altri ancora sono impiegati in giornali locali o in riviste specializzate, spesso incaricati di documentare fatti di cronaca, personaggi pubblici o paesaggi urbani. Il lavoro del fotografo sta diventando più dinamico: non è più legato solo agli studi fissi, ma può muoversi, esplorare, raccontare. In contesti più intimi e domestici, è ancora diffusa la pratica delle fotografie post mortem, spesso ultimo ricordo tangibile di un caro defunto, posizionato e immortalato con cura come se fosse ancora in vita.";arti_creative;altri fotografi|giornali locali|alta società;dal Sottoproletariato alla Middle Class;Fotografia|Empatia|Chimica|Percezione|Riparazione meccanica|Ammaliare;Cercare:10;"fotografo.png";"brass box camera, tripod, glass plates"
Scrittore;"A differenza del giornalista, lo scrittore usa le parole per definire ed esplorare la gamma delle emozioni umane. Conduce un'esistenza solitaria e una ricompensa solipsistica: al giorno d'oggi sono ben pochi coloro che riescono ad arricchirsi esercitando questa professione, per quanto in epoche passate permettesse di ricevere uno stipendio regolare. Le abitudini di lavoro degli scrittori sono molto variegate. Capita spesso che uno scrittore trascorra mesi o anni impegnato in ricerche di preparazione alla stesura di un libro, e poi si ritiri per immergersi in periodi di intensa creatività.";arti_creative;altri scrittori|mondo accademico|mondo dell'editoria;variabile, a seconda del successo;Lingua Madre|Lingua Straniera|Empatia|Storia|Biblioteconomia|Persuadere;Crittografia:10;"scrittore.png";"fountain pen, inkwell, manuscript pages"
Intrattenitore;"Può essere un attore, cantante, ballerino, musicista, comico, ventriloquo, prestigiatore o qualsiasi combinazione di questi talenti. I palchi di Londra sono il pinnacolo di queste attività, ma è facile trovare diversi teatri in tutte le città, dalle sale rispettabili ai baracconi più scalcinati. Negli ultimi anni, il successo del varietà e del music hall ha trasformato molti artisti in celebrità popolari, ma ha anche reso il mestiere più competitivo: si cerca di stupire con costumi appariscenti, numeri sempre nuovi e una presenza scenica che superi i limiti del palcoscenico. Molti intrattenitori lavorano anche in cabaret, circhi ambulanti o locali sotterranei, dove si esibiscono per un pubblico misto di borghesi curiosi e malavitosi di quartiere.";artisti_spettacolo;mondo del teatro|ambiente circense|giornalismo;da Povertà alla Borghesia Agiata;Recitazione|Camuffarsi|Atletica|Empatia|Ammaliare|Intimidire;Autocontrollo:10;"intrattenitore.png";"top hat, theatrical mask, cane"
Musicista classico;"Suona in orchestra, accompagna eventi mondani, talvolta compone. Può aver studiato in una scuola specializzata, oppure con un maestro privato. Si esibisce nei teatri, nelle sale da concerto, ma anche nei salotti dell'alta società o in occasioni ufficiali. La disciplina è ferrea, l'ambiente competitivo, le ambizioni spesso sproporzionate rispetto ai riconoscimenti.";artisti_spettacolo;altri musicisti|mecenati|alta società;dalla Middle Class alla Borghesia Agiata;Musica|Percezione|Empatia|Artigianato|Storia|Galateo|Ammaliare;Riparazione meccanica:10;"musicista-classico.png";"violin, sheet music, bow"
Aiutante di scena;"L'aiutante di scena lavora dietro le quinte per creare effetti speciali con fumo, luci e suoni. Spesso si tratta di aspiranti attori che imparano i trucchi del mestiere e partecipano alle rappresentazioni con piccole parti. È un tuttofare che si occupa del sipario, dei costumi degli attori, ma anche della realizzazione delle scenografie.";artisti_spettacolo;mondo del teatro;da Indigenza a Classe Lavoratrice;Artigianato|Recitazione|Chimica|Rapidità di mano|Riparazione meccanica|Riparazione elettrica;Bassifondi:10;"aiutante-di-scena.png";"theater curtain rope, lantern, tools"
Acrobata;"Gli acrobati possono essere atleti professionisti che competono in eventi organizzati o artisti ingaggiati nel settore dell'intrattenimento, come circhi, fiere o teatri. Negli ultimi anni, le esibizioni acrobatiche si sono diffuse nei music hall, nei circhi itineranti e persino in contesti più formali come le esposizioni internazionali. Alcuni atleti provengono da ambienti militari o ginnici e si esibiscono anche in spettacoli dimostrativi di forza, equilibrio o destrezza, talvolta a sfondo patriottico o educativo.";sport;altri acrobati|mondo dello sport|ambiente circense;da Povertà a Middle Class;Percezione|Armi da lancio|Nuotare|Atletica|Schivare|Danza;Furtività:10;"acrobata.png";"circus tent, balance pole, ribbon"
Atleta professionista;"Quella dell'atleta non è più una professione riservata esclusivamente alle classi inferiori, numerose attività vengono praticate a livelli agonistici da donne e uomini dei ceti più abbienti. I passatempi principali sono l'equitazione, il croquet, il tiro con l'arco ed il cricket, ma anche il golf ed il tennis. Non sono rare le donne che si dedicano ad attività estreme come l'alpinismo, tanto da influenzare la moda del periodo che prevede indumenti più comodi ed adeguati.";sport;mondo sportivo|giornali locali|alta società;Da Sottoproletariato a Middle Class;Cavalcare|Corpo a corpo|Armi da lancio|Nuotare|Atletica|Ammaliare;Primo soccorso:10;"atleta-professionista.png";"cricket bat, riding crop, tennis racket"
