slug,parentPath,type,kind,rootDocumentSlug,redirectTo,title,description,isPublic,enabled,displayCategory
epoca-vittoriana,,ambientazione,document,epoca-vittoriana,,,,true,true,
faq,,ambientazione,document,faq,,,,true,true,
folklore,,ambientazione,document,folklore,,,,true,true,
lore,,ambientazione,document,lore,,,,true,true,
png-noti,,ambientazione,document,png-noti,,,,true,true,
presentazione,,ambientazione,document,presentazione,,,,true,true,
strati-sociali,,ambientazione,document,strati-sociali,,,,true,true,
classi-sociali,,approfondimenti,document,classi-sociali,,,,true,true,
interazioni,classi-sociali,approfondimenti,document,interazioni,,,,true,true,
lower-class,classi-sociali,approfondimenti,document,lower-class,,,,true,true,
middle-class,classi-sociali,approfondimenti,document,middle-class,,,,true,true,
upper-class,classi-sociali,approfondimenti,document,upper-class,,,,true,true,
cultura,,approfondimenti,document,cultura,,,,true,true,
