"name";"description";"category";"monthlyCost";"socialClassesEligible"
# SERVITU DOMESTICA
"Donna di fatica o lavandaia";"Interviene alcuni giorni al mese per pulizie pesanti, bucato e lavori domestici occasionali. Non risiede nella casa.";"servitu";"2";""
"Domestico tuttofare";"Un domestico residente si occupa della casa, apre la porta, riceve consegne e svolge semplici commissioni.";"servitu";"5";""
"Domestico specializzato";"Comprende una singola figura scelta tra cuoca, cameriera personale, valletto, governante, giardiniere o stalliere.";"servitu";"8";""
"Maggiordomo o governante capo";"Gestisce la casa, controlla gli accessi ordinari, registra visite e consegne e coordina il personale già presente.";"servitu";"12";""
"Piccola servitù";"Comprende un responsabile e due o tre domestici con mansioni differenti. È adatta a una casa benestante di medie dimensioni.";"servitu";"20";""
"Grande servitù";"Comprende un responsabile e un numero di domestici sufficiente a gestire una residenza ampia, le scuderie e il servizio agli ospiti.";"servitu";"30";""
# COMUNICAZIONI E IMPIANTI
"Fattorino di fiducia";"Porta lettere e piccoli pacchi in città ed esegue semplici commissioni. Può essere seguito, fermato o interrogato.";"comunicazioni";"4";""
"Impianto elettrico domestico";"Fornisce illuminazione elettrica agli ambienti principali. Interruzioni e guasti restano possibili.";"comunicazioni";"6";""
"Linea telefonica";"Permette di chiamare gli altri abbonati attraverso il centralino. Le conversazioni possono essere ascoltate dagli operatori e la rete non raggiunge ogni indirizzo.";"comunicazioni";"6";""
"Linea telegrafica privata";"Collega la casa o l'ufficio alla rete telegrafica e permette di trasmettere messaggi senza recarsi allo sportello. Il testo viene comunque trattato dagli operatori.";"comunicazioni";"10";""
# TRASPORTI PRIVATI
"Carrozza a chiamata";"Garantisce l'uso abituale di una carrozza con cocchiere prenotata tramite una rimessa. Il mezzo non è esclusivo e può richiedere attesa.";"trasporti";"4";""
"Cavallo da sella con stallo e mantenimento";"Comprende l'uso continuativo di un cavallo, il posto in una scuderia, il foraggio e le cure ordinarie. Permette di utilizzare Cavalcare per gli spostamenti e le azioni compatibili con l'animale. Il cavallo può stancarsi, ferirsi o rifiutarsi di affrontare un pericolo.";"trasporti";"6";""
"Calesse con cocchiere";"Mezzo privato leggero per una o due persone, rapido negli spostamenti urbani e privo di protezione dalle intemperie. Comprende cavallo, rimessa e mantenimento.";"trasporti";"8";""
"Carrozza chiusa con cocchiere";"Mezzo privato coperto per un piccolo gruppo, disponibile presso l'abitazione per gli spostamenti concordati. Comprende cavalli, rimessa e mantenimento.";"trasporti";"12";""
"Scuderia privata";"Comprende due mezzi, più cavalli, un cocchiere e uno stalliere. Consente di mantenere un trasporto disponibile anche quando un mezzo è già in uso.";"trasporti";"20";""
# SICUREZZA DELL'ABITAZIONE (una sola volta per la stessa abitazione)
"Serrature e catenacci rinforzati";"Rendono più difficile aprire porte e finestre senza chiavi o strumenti adatti. L'effrazione lascia segni evidenti.";"sicurezza";"2";""
"Inferriate e imposte di sicurezza";"Proteggono gli accessi secondari e le finestre più esposte. Restano visibili dall'esterno e possono ostacolare anche una fuga.";"sicurezza";"4";""
"Illuminazione elettrica esterna";"Illumina l'ingresso, il cortile o il giardino e riduce le zone d'ombra. Richiede un impianto elettrico domestico.";"sicurezza";"4";""
"Cassetta di sicurezza esterna";"Consente di custodire documenti e piccoli oggetti presso una banca o una società di deposito. Il contenuto resta protetto durante un'intrusione nell'abitazione, ma può essere recuperato soltanto negli orari e secondo le procedure previste dall'istituto.";"sicurezza";"4";""
"Cassaforte domestica";"Protegge documenti, denaro e piccoli oggetti. Non ostacola l'accesso alla casa, ma richiede tempo e strumenti per essere forzata.";"sicurezza";"5";""
"Cane da guardia addestrato";"Segnala presenze insolite e può affrontare un intruso. Può essere distratto, avvelenato o riconoscere una persona già accettata in casa.";"sicurezza";"6";""
"Sistema d'allarme elettrico";"Contatti applicati a porte e finestre fanno suonare un campanello interno quando vengono aperti. Il sistema può essere disattivato o sabotato.";"sicurezza";"8";""
"Custode residente";"Sorveglia l'ingresso, controlla visitatori e consegne e compie ronde negli spazi comuni. Non svolge il ruolo di guardia del corpo.";"sicurezza";"8";""
"Sorveglianza notturna";"Una coppia di sorveglianti controlla l'esterno e gli accessi durante la notte. La protezione non accompagna il personaggio fuori dall'abitazione.";"sicurezza";"12";""
