"name";"baseValue";"category";"description";"isPlaceholder";"placeholderType";"canRollWithoutPoints"
"Finanza";"01";"financial";"Gestione del denaro, investimenti e comprensione dello stato sociale";"false";"";"true"
"Biblioteconomia";"10";"general";"Una delle abilità più importanti del gioco, che ti capiterà di usare molto spesso";"false";"";"true"
"Camuffarsi";"05";"general";"Usando quest'abilità puoi cambiare stile di abbigliamento, postura e voce, per assomigliare a qualcun altro";"false";"";"true"
"Cercare";"25";"general";"Ti consente di scrutare attentamente un'area per trovare oggetti nascosti, indizi o dettagli importanti";"false";"";"true"
"Contabilità";"05";"general";"La skill è necessaria per comprendere procedure contabili o la situazione finanziaria di una compagnia";"false";"";"true"
"Guidare carrozza";"10";"general";"Chi possiede quest'abilità può manovrare senza difficoltà qualsiasi mezzo trainato da animali";"false";"";"true"
"Leggere le labbra";"01";"general";"Ti permette di interpretare le parole pronunciate da una persona leggendo il movimento delle labbra";"false";"";"true"
"Navigare";"10";"general";"La conoscenza dell'orientamento in mare, dei venti e delle correnti, dell'uso di strumenti nautici";"false";"";"true"
"Orientamento";"10";"general";"Skill necessaria per non perdere la strada durante tempeste, bel tempo, di giorno e di notte";"false";"";"true"
"Percezione";"25";"general";"La skill ti permette di osservare con attenzione lo spazio intorno a te";"false";"";"true"
"Primo soccorso";"30";"general";"Non ha alcun effetto su malattie e disturbi particolari, ma ti può essere molto utile per risvegliare un compagno svenuto";"false";"";"true"
"Scassinare";"01";"general";"L'arte di forzare serrature e sistemi di chiusura senza chiavi";"false";"";"true"
"Seguire tracce";"10";"general";"Ti permette di seguire una persona, un animale o un veicolo grazie ai piccoli indizi che lascia dietro di sé";"false";"";"true"
"Sopravvivenza";"10";"general";"Ti consente di trovare cibo, acqua e riparo in ambienti ostili, di accendere fuochi, costruire trappole";"false";"";"true"
"Valutare";"05";"general";"Permette di stimare il valore e l'autenticità di oggetti, opere d'arte, pietre preziose e manufatti";"false";"";"true"
"Artigianato";"05";"artistic";"L'abilità di creare e riparare oggetti con le proprie mani, utilizzando strumenti e materiali vari";"false";"";"true"
"Danza";"05";"artistic";"Comprende sia le danze popolari che quelle di corte, con conoscenza di passi, movimenti e ritmo";"false";"";"true"
"Esplosivi";"01";"technical";"La capacità di riconoscere, maneggiare e utilizzare esplosivi di vario tipo, dalle polveri da sparo alle dinamiti";"false";"";"true"
"Falsificare";"05";"artistic";"La capacità di riprodurre documenti, sigilli, firme o opere d'arte in modo credibile";"false";"";"true"
"Fotografia";"05";"technical";"Comprende sia l'uso di una macchina fotografica di ultima generazione, sia l'utilizzo di una classica macchina a lastre";"false";"";"true"
"Musica";"05";"artistic";"La padronanza di uno o più strumenti musicali e la capacità di comporre brani originali";"false";"";"true"
"Pittura e Disegno";"05";"artistic";"La capacità di creare immagini su tela, carta o altri supporti, utilizzando pigmenti, inchiostri o carboncini";"false";"";"true"
"Recitazione";"05";"artistic";"L'arte di interpretare un personaggio su un palcoscenico o in contesti narrativi";"false";"";"true"
"Riparazione elettrica";"01";"technical";"Sai riparare e modificare apparecchiature elettriche, telefoniche o telegrafiche";"false";"";"true"
"Riparazione meccanica";"10";"technical";"Ti fornisce le conoscenze per riparare un meccanismo, che sia questo una caldaia rotta o una macchina a vapore";"false";"";"true"
"Scultura";"05";"artistic";"L'abilità di modellare pietra, legno, metallo o argilla per creare figure, busti e decorazioni architettoniche";"false";"";"true"
"Antropologia";"01";"knowledge";"Studiare una cultura dall'interno, ti permette di capirne le abitudini e di trarre conclusioni sui comportamenti dei singoli individui";"false";"";"false"
"Archeologia";"01";"knowledge";"Quest'abilità ti consente di datare, classificare e identificare antichi manufatti, oltre che a riconoscere i falsi dalle opere autentiche";"false";"";"false"
"Astronomia";"01";"knowledge";"Sai individuare quali stelle o pianeti si trovino nel cielo, sia di giorno che di notte";"false";"";"false"
"Biologia";"01";"knowledge";"E' la scienza che studia gli esseri viventi e la nascita della vita";"false";"";"false"
"Chimica";"01";"knowledge";"La scienza che studia come sono composte le sostanze, i mutamenti che subiscono se sottoposte a determinate condizioni";"false";"";"false"
"Crittografia";"01";"knowledge";"L'abilità di decifrare messaggi codificati o di crearne di nuovi per proteggere informazioni sensibili";"false";"";"false"
"Farmacologia";"01";"knowledge";"Con quest'abilità, puoi riconoscere, preparare e somministrare una gran numero di droghe e pozioni";"false";"";"false"
"Fisica";"01";"knowledge";"Permette una conoscenza teorica di concetti come magnetismo, elettricità, movimento, pressione, ottica";"false";"";"false"
"Geologia";"01";"knowledge";"Questa skill ti permette di identificare l'età approssimativa di strati rocciosi, riconoscere fossili, catalogare pietre, cristalli e minerali";"false";"";"false"
"Legge";"05";"knowledge";"Conoscenza delle norme e delle procedure legali, utile per interpretare documenti, difendersi in tribunale o individuare cavilli";"false";"";"true"
"Lingua straniera";"01";"knowledge";"Rappresenta la padronanza di una lingua straniera";"true";"lingua";"false"
"Lingua Madre";"FORMULA:EDU";"knowledge";"Scegli la tua lingua madre. Il valore dato da Educazione serve a determinare la tua abilità nel parlare, scrivere e leggere";"false";"";"true"
"Matematica";"01";"knowledge";"Conoscenza teorica e pratica di calcolo, geometria, algebra e altre branche della matematica";"false";"";"false"
"Medicina";"01";"knowledge";"L'abilità di diagnosticare malattie, curare ferite gravi e condurre interventi chirurgici";"false";"";"false"
"Occultismo";"05";"knowledge";"Conoscenza di pratiche esoteriche, rituali magici, simboli arcani e tradizioni mistiche";"false";"";"true"
"Psichiatria";"10";"knowledge";"La conoscenza e l'applicazione di tecniche per trattare disturbi mentali e traumi emotivi";"false";"";"false"
"Scienza Forense";"01";"knowledge";"La capacità di analizzare prove materiali, tracce e reperti legati a un crimine";"false";"";"false"
"Storia";"05";"knowledge";"L'abilità di ricordare e interpretare eventi passati, date, luoghi e personaggi storici";"false";"";"true"
"Zoologia";"01";"knowledge";"Conoscenza degli animali, del loro comportamento e del loro habitat naturale";"false";"";"false"
"Ammaliare";"15";"social";"L'arte di catturare l'attenzione e l'interesse di una persona attraverso fascino, carisma e seduzione";"false";"";"true"
"Autocontrollo";"10";"social";"La capacità di mantenere la calma e il controllo delle proprie emozioni in situazioni di stress o paura";"false";"";"true"
"Bassifondi";"05";"social";"I Bassifondi ti danno la conoscenza di criminali, cartelli e voci che girano nelle zone più povere e pericolose di Londra";"false";"";"true"
"Empatia";"10";"social";"Ti consente di fare ipotesi sul carattere e le motivazioni che spingono una persona a comportarsi in un certo modo";"false";"";"true"
"Galateo";"05";"social";"Con questa skill sarai in grado di muoverti nell'alta società, le cene di gala ed i ricevimenti non hanno segreti per te";"false";"";"true"
"Intimidire";"15";"social";"La capacità di incutere timore o rispetto, utilizzando linguaggio, postura e tono di voce per influenzare il comportamento altrui";"false";"";"true"
"Oratoria";"05";"social";"L'arte di parlare in pubblico con efficacia, modulando voce, ritmo e linguaggio per persuadere, ispirare o coinvolgere un uditorio";"false";"";"true"
"Persuadere";"10";"social";"La capacità di convincere qualcuno a fare o credere qualcosa attraverso argomentazioni logiche, prove e discorsi ben strutturati";"false";"";"true"
"Raggirare";"05";"social";"L'arte di mentire e ingannare senza essere scoperti, facendo leva sulla credulità o sull'ignoranza altrui";"false";"";"true"
"Tempra";"10";"social";"La forza d'animo e la resistenza mentale per sopportare dolore, fatica o situazioni difficili senza cedere";"false";"";"true"
"Armi da botta";"10";"combat";"Abilità che ti permette di combattere con le cosiddette armi da botta, come bastoni, martelli, mazze, manganelli";"false";"";"true"
"Armi da fuoco";"05";"combat";"Abilità che ti consente di usare armi da fuoco come revolver, fucili e altro ancora";"false";"";"true"
"Armi da lancio";"10";"combat";"Abilità per usare usare armi da lancio di qualsiasi genere come archi, balestre, boomerang";"false";"";"true"
"Armi da taglio";"20";"combat";"E' la skill che ti permette di usare le armi propriamente da taglio, come ascia, spada, fioretto, sciabola, scimitarra, daga, pugnale";"false";"";"true"
"Armi pesanti";"05";"combat";"L'abilità di maneggiare, caricare e utilizzare armi pesanti come cannoni, mortai e mitragliatrici di grosso calibro";"false";"";"true"
"Atletica";"20";"physical";"Che tu sia un atleta, un pugile o un dilettante non ha importanza: questa abilità indica la tua capacità di muoverti agilmente";"false";"";"true"
"Cavalcare";"20";"physical";"Cavalcare può essere usata su cavalli, muli e asini, ma anche su animali più esotici";"false";"";"true"
"Corpo a corpo";"25";"combat";"Abilità che ti permette di avere la meglio in uno scontro fisico a mani nude";"false";"";"true"
"Furtività";"20";"physical";"L'abilità di muoverti silenziosamente e senza essere notato, sfruttando l'ambiente circostante a tuo vantaggio";"false";"";"true"
"Nuotare";"20";"physical";"Con questa abilità sei capace di nuotare e restare a galla quando immerso nell'acqua o in altri liquidi";"false";"";"true"
"Rapidità di mano";"10";"physical";"Abilità che comprende borseggio, scambio di oggetti senza farsi notare e manipolazioni rapide per distrarre un osservatore";"false";"";"true"
"Schivare";"FORMULA:DEX";"combat";"La capacità di evitare un attacco o un pericolo fisico spostandosi rapidamente fuori dalla traiettoria";"false";"";"true"
